t0,t1,dt,Measured_Angle_X,Measured_Angle_Y,Acceleration_Z,Angular_Velocity_X,Angular_Velocity_Y,Altitude,Kalman_Angle_X,Kalman_Angle_Y,Open_X,Open_Y
5215.00,5286.00,71.00,0.19,0.38,9.84,0.08,0.14,0.00,0.05,0.32,0.00,0.00
5286.00,5362.00,76.00,-0.49,0.38,9.87,-0.03,0.21,0.00,-0.01,0.34,0.00,0.00
5362.00,5442.00,80.00,0.42,0.60,9.72,0.03,0.16,0.00,0.04,0.38,0.00,0.00
5442.00,5517.00,75.00,-0.26,0.15,9.84,0.03,0.09,0.00,0.01,0.36,0.00,0.00
5517.00,5594.00,77.00,0.42,0.15,9.80,0.06,0.06,0.00,0.07,0.34,0.00,0.00
5594.00,5670.00,76.00,0.42,-0.08,9.76,-0.11,0.01,0.00,0.11,0.29,0.00,0.00
5670.00,5753.00,83.00,0.42,0.60,9.80,-0.06,-0.02,0.00,0.15,0.32,0.00,0.00
5753.00,5826.00,73.00,0.42,-0.08,9.84,-0.09,-0.02,0.00,0.18,0.27,0.00,0.00
5826.00,5906.00,80.00,-0.26,0.15,9.76,0.01,0.02,0.00,0.14,0.26,0.00,0.00
5906.00,5982.00,76.00,-0.26,0.38,9.80,-0.09,0.01,0.00,0.09,0.27,0.00,0.00
5982.00,6060.00,78.00,0.42,0.60,9.72,-0.02,-0.12,0.00,0.13,0.30,0.00,0.00
6060.00,6138.00,78.00,-0.04,0.38,9.84,0.05,-0.10,0.00,0.12,0.30,0.00,0.00
6138.00,6221.00,83.00,-0.49,0.15,9.72,0.00,-0.15,0.00,0.06,0.27,0.00,0.00
6221.00,6295.00,74.00,0.19,0.83,9.80,0.07,-0.11,0.00,0.08,0.33,0.00,0.00
6295.00,6371.00,76.00,0.19,0.15,9.80,-0.08,-0.07,0.00,0.09,0.30,0.00,0.00
6371.00,6449.00,78.00,-0.04,0.15,9.80,0.14,-0.02,0.00,0.09,0.28,0.00,0.00
6449.00,6527.00,78.00,0.19,0.15,9.84,-0.06,-0.05,0.00,0.10,0.26,0.00,0.00
6527.00,6605.00,78.00,-0.04,0.38,9.84,-0.05,0.00,0.00,0.08,0.28,0.00,0.00
6605.00,6683.00,78.00,0.19,0.15,9.84,-0.03,0.02,0.00,0.10,0.26,0.00,0.00
6683.00,6765.00,82.00,-0.04,-0.08,9.76,-0.03,-0.06,0.00,0.08,0.21,0.00,0.00
6765.00,6840.00,75.00,-0.04,0.60,9.87,0.05,0.01,0.00,0.07,0.26,0.00,0.00
6840.00,6917.00,77.00,-0.49,-0.08,9.84,0.03,0.11,0.00,0.01,0.23,0.00,0.00
