t0,t1,dt,Measured_Angle_X,Measured_Angle_Y,Acceleration_Z,Angular_Velocity_X,Angular_Velocity_Y,Altitude,Kalman_Angle_X,Kalman_Angle_Y,Open_X,Open_Y
0.00,0.00,0.00,-1.24,0.59,9.78,0.47,0.09,0.00,0.00,0.00,0.00,0.00
0.00,48.00,48.00,-0.78,-2.16,9.71,0.97,-0.14,0.00,0.05,-0.01,1.00,0.00
48.00,121.00,73.00,-1.47,1.96,9.94,1.99,0.49,0.00,0.18,0.03,1.00,0.00
121.00,194.00,73.00,1.51,1.73,9.67,0.76,-0.10,0.00,0.25,0.04,1.00,0.00
194.00,269.00,75.00,1.05,0.36,9.94,-0.41,-0.07,0.00,0.22,0.03,0.00,0.00
269.00,345.00,76.00,0.82,-2.16,9.12,-0.39,0.14,0.00,0.20,0.02,0.00,0.00
345.00,427.00,82.00,-5.60,0.13,9.90,3.15,0.63,0.00,0.37,0.07,1.00,0.00
427.00,496.00,69.00,-6.29,0.36,9.08,10.54,1.48,0.00,0.95,0.18,1.00,1.00
496.00,572.00,76.00,7.03,-2.39,12.37,12.63,0.12,0.00,2.02,0.13,1.00,0.00
572.00,649.00,77.00,-4.91,1.28,8.65,20.03,0.34,0.00,3.33,0.18,1.00,0.00
649.00,725.00,76.00,6.11,-0.79,9.82,20.94,-0.97,0.00,4.95,0.08,1.00,0.00
725.00,802.00,77.00,13.79,-2.16,9.51,19.20,-1.12,0.00,6.68,-0.09,1.00,-1.00
802.00,882.00,80.00,11.44,1.73,9.39,16.99,-1.63,0.00,8.18,-0.15,1.00,-1.00
882.00,966.00,84.00,13.08,-0.33,9.78,12.38,-1.39,0.00,9.42,-0.27,1.00,-1.00
966.00,1041.00,75.00,13.08,0.82,9.67,7.15,-1.84,0.00,10.14,-0.34,1.00,-1.00
1041.00,1121.00,80.00,12.61,-1.02,9.71,5.19,-1.41,0.00,10.71,-0.49,1.00,-1.00
1121.00,1204.00,83.00,12.85,1.05,9.78,0.19,-1.76,0.00,10.90,-0.53,1.00,-1.00
1204.00,1285.00,81.00,14.02,-4.00,9.67,-3.26,-1.47,0.00,10.93,-0.88,1.00,-1.00
1285.00,1368.00,83.00,12.85,1.05,9.63,-8.06,-1.19,0.00,10.52,-0.83,1.00,-1.00
1368.00,1455.00,87.00,12.14,-3.54,9.82,-11.37,-0.87,0.00,9.83,-1.13,-1.00,-1.00
1455.00,1535.00,80.00,6.80,4.26,9.75,-15.16,-0.85,0.00,8.53,-0.72,-1.00,-1.00
1535.00,1617.00,82.00,6.80,-3.08,9.94,-14.82,-0.03,0.00,7.34,-0.93,-1.00,0.00
1617.00,1699.00,82.00,6.80,0.36,9.75,-16.23,0.49,0.00,6.16,-0.76,-1.00,0.00
1699.00,1778.00,79.00,2.20,-2.16,9.71,-16.26,0.85,0.00,4.67,-0.84,-1.00,0.00
1778.00,1859.00,81.00,7.26,-7.68,10.02,-17.04,1.35,0.00,3.76,-1.46,-1.00,0.00
1859.00,.00,0.60,-2.16,9.63,-15.42,1.73,0.00,2.36,-1.44,-1.00,0.00
1942.00,2067.00,125.00,-1.47,-0.79,9.59,-14.62,2.03,0.00,0.39,-1.21,-1.00,0.00
2067.00,2127.00,60.00,-3.07,-0.79,9.59,-13.64,2.24,0.00,-0.69,-1.07,-1.00,1.00
2127.00,2211.00,84.00,-4.68,1.05,9.75,-11.66,2.26,0.00,-1.99,-0.69,-1.00,1.00
2211.00,2293.00,82.00,-5.83,-1.02,9.67,-9.90,2.21,0.00,-3.14,-0.59,-1.00,1.00
2293.00,2374.00,81.00,-6.75,1.96,9.67,-7.76,1.92,0.00,-4.12,-0.18,-1.00,1.00
2374.00,2455.00,81.00,-6.29,-0.79,9.71,-5.82,1.73,0.00,-4.81,-0.14,-1.00,1.00
2455.00,2542.00,87.00,-7.21,1.28,9.82,-2.59,1.32,0.00,-5.33,0.11,-1.00,1.00
2542.00,2618.00,76.00,-8.37,0.82,9.86,-0.32,1.05,0.00,-5.76,0.26,-1.00,1.00
2618.00,2698.00,80.00,-7.44,1.96,9.71,1.35,0.68,0.00,-5.92,0.51,-1.00,1.00
2698.00,2777.00,79.00,-6.29,0.82,9.75,3.91,0.07,0.00,-5.76,0.55,-1.00,0.00
2777.00,2856.00,79.00,-5.83,1.05,9.71,5.77,-0.12,0.00,-5.44,0.61,0.00,0.00
2856.00,2935.00,79.00,-6.29,-1.47,9.75,7.81,-0.78,0.00,-5.07,0.31,1.00,0.00
2935.00,3015.00,80.00,2.43,0.59,9.94,6.72,-1.51,0.00,-3.77,0.24,1.00,-1.00
3015.00,3099.00,84.00,-1.92,0.59,9.67,9.07,-1.39,0.00,-2.92,0.17,1.00,-1.00
3099.00,3174.00,75.00,-1.92,1.96,9.86,7.65,-1.67,0.00,-2.32,0.28,1.00,-1.00
3174.00,3254.00,80.00,-0.55,0.36,9.86,8.78,-1.81,0.00,-1.52,0.18,1.00,-1.00
3254.00,3334.00,80.00,0.37,-0.56,9.98,7.38,-1.80,0.00,-0.80,-0.02,1.00,-1.00
3334.00,3416.00,82.00,-0.55,0.13,9.78,6.38,-2.02,0.00,-0.32,-0.14,1.00,-1.00
