t0,t1,dt,Measured_Angle_X,Measured_Angle_Y,Acceleration_Z,Angular_Velocity_X,Angular_Velocity_Y,Altitude,Kalman_Angle_X,Kalman_Angle_Y,Open_X,Open_Y
0.00,0.00,0.00,9.69,6.30,9.05,-13.81,-4.53,0.00,0.00,0.00,-1.00,-1.00
0.00,49.00,49.00,12.02,5.84,10.11,-3.32,-8.86,0.00,-0.14,-0.42,-1.00,-1.00
49.00,129.00,80.00,12.96,5.38,9.44,0.65,-13.48,0.00,-0.03,-1.47,0.00,-1.00
129.00,208.00,79.00,4.14,3.08,10.58,-12.73,-19.53,0.00,-1.00,-2.97,-1.00,-1.00
208.00,291.00,83.00,3.00,2.85,9.52,-5.69,-9.31,0.00,-1.43,-3.68,-1.00,-1.00
291.00,376.00,85.00,0.02,3.54,9.52,-11.19,-7.13,0.00,-2.35,-4.18,-1.00,-1.00
376.00,453.00,77.00,5.52,3.08,9.44,-3.93,-4.22,0.00,-2.51,-4.37,-1.00,-1.00
453.00,532.00,79.00,6.45,6.07,9.36,-0.38,-16.54,0.00,-2.34,-5.42,-1.00,-1.00
532.00,613.00,81.00,2.77,0.33,9.36,-18.72,-40.24,0.00,-3.68,-8.44,-1.00,-1.00
613.00,695.00,82.00,5.29,-3.34,10.30,-27.39,-38.28,0.00,-5.57,-11.30,-1.00,-1.00
695.00,781.00,86.00,5.06,-1.50,9.76,-29.19,-20.37,0.00,-7.57,-12.60,-1.00,-1.00
781.00,865.00,84.00,-2.05,-3.11,9.79,-59.77,-24.35,0.00,-12.09,-14.10,-1.00,-1.00
865.00,956.00,91.00,-15.76,-7.48,9.79,-43.79,5.30,0.00,-15.96,-13.22,-1.00,-1.00
956.00,1037.00,81.00,-14.34,-5.40,9.48,-26.41,14.05,0.00,-17.81,-11.62,-1.00,1.00
1037.00,1123.00,86.00,-13.39,-3.34,9.72,-24.18,-9.72,0.00,-19.38,-11.76,-1.00,-1.00
1123.00,1211.00,88.00,-12.69,-3.11,9.72,-17.06,7.99,0.00,-20.20,-10.35,-1.00,-1.00
1211.00,1299.00,88.00,-14.34,-1.73,9.76,-5.02,-4.17,0.00,-20.00,-9.84,-1.00,-1.00
1299.00,1385.00,86.00,-16.71,-2.19,9.79,22.93,-3.42,0.00,-17.74,-9.26,1.00,-1.00
1385.00,1474.00,89.00,-8.49,-1.73,10.11,21.82,-2.13,0.00,-14.96,-8.49,1.00,-1.00
1474.00,1556.00,82.00,-8.49,-2.88,9.95,2.76,0.28,0.00,-13.94,-7.66,-1.00,-1.00
1556.00,1639.00,83.00,-11.52,-1.04,9.76,-14.33,-7.45,0.00,-14.53,-7.25,-1.00,-1.00
1639.00,1726.00,87.00,-12.92,-2.42,9.99,-8.57,-5.25,0.00,-14.75,-6.79,-1.00,-1.00
1726.00,1812.00,86.00,-11.05,-3.11,9.83,-9.05,-5.09,0.00,-14.77,-6.39,-1.00,-1.00
1812.00,1899.00,87.00,-13.16,-1.96,9.76,0.51,-4.57,0.00,-14.24,-5.83,-1.00,-1.00
1899.00,1989.00,90.00,-11.75,-1.96,9.87,-4.27,2.61,0.00,-13.96,-4.72,-1.00,-1.00
1989.00,2069.00,80.00,-11.98,-0.13,9.76,-12.62,-0.33,0.00,-14.32,-3.79,-1.00,-1.00
2069.00,2157.00,88.00,-13.86,-3.79,9.87,15.86,-24.73,0.00,-12.68,-5.21,1.00,-1.00
2157.00,2244.00,87.00,-9.88,-4.94,9.60,49.32,-7.38,0.00,-8.23,-5.24,1.00,-1.00
2244.00,2326.00,82.00,-5.49,-3.79,9.76,34.79,-54.52,0.00,-5.08,-8.53,1.00,-1.00
2326.00,2410.00,84.00,-2.27,-8.64,9.79,-4.09,-78.85,0.00,-4.72,-13.84,-1.00,-1.00
2410.00,2502.00,92.00,-0.67,-17.34,9.40,-21.64,-76.21,0.00,-5.61,-19.81,-1.00,-1.00
2502.00,2586.00,84.00,-5.49,-29.08,9.64,-24.80,-62.34,0.00,-7.05,-24.98,-1.00,-1.00
2586.00,2674.00,88.00,-9.42,-26.75,9.09,9.74,-34.31,0.00,-6.20,-27.28,1.00,-1.00
2674.00,2760.00,86.00,-6.41,-33.64,8.74,11.90,-47.89,0.00,-4.97,-31.12,1.00,-1.00
2760.00,2846.00,86.00,-1.82,-38.17,9.01,13.15,-49.46,0.00,-3.23,-35.19,1.00,-1.00
2846.00,2932.00,86.00,-2.05,-39.34,8.46,10.86,39.14,0.00,-1.91,-32.26,1.00,1.00
2932.00,3020.00,88.00,-0.44,-28.04,9.13,9.94,96.49,0.00,-0.59,-23.83,1.00,1.00
3020.00,3100.00,80.00,1.85,-20.00,9.05,-6.67,129.02,0.00,-0.41,-13.93,-1.00,1.00
3100.00,3185.00,85.00,-5.26,-8.87,9.64,-31.85,87.88,0.00,-3.02,-6.37,-1.00,1.00
3185.00,3269.00,84.00,-7.10,-2.42,9.64,-28.86,77.57,0.00,-5.30,0.18,-1.00,1.00
3269.00,3351.00,82.00,-7.33,6.07,9.25,-5.13,65.40,0.00,-5.59,5.95,-1.00,1.00
3351.00,3433.00,82.00,-5.72,13.75,9.79,13.85,69.77,0.00,-4.29,12.27,1.00,1.00
3433.00,3515.00,82.00,-0.67,17.80,9.09,21.71,61.11,0.00,-1.97,17.69,1.00,1.00
3515.00,3601.00,86.00,0.02,21.94,8.54,-3.39,36.29,0.00,-1.64,21.32,-1.00,1.00
3601.00,3679.00,78.00,-3.19,21.45,8.62,-17.53,28.84,0.00,-2.72,23.64,-1.00,1.00
3679.00,3764.00,85.00,-2.73,27.24,8.85,11.87,13.84,0.00,-1.49,25.47,1.00,1.00
3764.00,3846.00,82.00,5.29,28.53,8.46,13.71,-16.45,0.00,0.65,25.02,1.00,1.00
3846.00,3927.00,81.00,5.75,30.11,8.50,-0.15,-55.05,0.00,1.62,22.11,1.00,-1.00
3927.00,4009.00,82.00,1.62,17.80,9.05,-19.00,-116.70,0.00,0.64,13.62,-1.00,-1.00
4009.00,4099.00,90.00,-5.26,9.08,9.40,-29.43,-121.13,0.00,-1.99,4.02,-1.00,-1.00
4099.00,4180.00,81.00,-7.80,-1.73,9.13,-22.80,-108.64,0.00,-3.98,-3.91,-1.00,-1.00
