t0,t1,dt,Measured_Angle_X,Measured_Angle_Y,Acceleration_Z,Angular_Velocity_X,Angular_Velocity_Y,Altitude,Kalman_Angle_X,Kalman_Angle_Y,Open_X,Open_Y
0.00,0.00,0.00,0.23,-0.46,9.95,-0.00,-0.45,0.00,0.00,0.00,0.00,0.00
0.00,47.00,47.00,-0.91,0.45,9.67,0.01,-0.51,0.00,-0.00,-0.02,0.00,0.00
47.00,122.00,75.00,-0.68,-0.01,9.83,0.11,-0.55,0.00,0.00,-0.06,0.00,0.00
122.00,199.00,77.00,0.23,-0.01,9.79,0.14,-0.66,0.00,0.02,-0.11,0.00,0.00
199.00,276.00,77.00,-1.14,-0.46,9.79,-0.07,-0.57,0.00,0.00,-0.16,0.00,0.00
276.00,359.00,83.00,1.38,-0.23,9.71,-0.34,-0.53,0.00,-0.01,-0.21,0.00,0.00
359.00,434.00,75.00,-0.68,-0.92,9.67,-0.39,-0.93,0.00,-0.05,-0.29,0.00,-1.00
434.00,515.00,81.00,1.61,-0.23,9.83,-0.25,-0.68,0.00,-0.04,-0.34,0.00,-1.00
515.00,596.00,81.00,-0.91,-0.46,9.75,-0.48,-0.43,0.00,-0.09,-0.38,0.00,0.00
596.00,676.00,80.00,1.15,-0.23,9.79,-0.33,-0.40,0.00,-0.08,-0.40,0.00,0.00
676.00,754.00,78.00,-0.68,-0.01,9.79,-0.55,-0.33,0.00,-0.14,-0.41,0.00,0.00
754.00,834.00,80.00,0.46,-0.46,9.79,-0.19,-0.33,0.00,-0.13,-0.44,0.00,0.00
834.00,917.00,83.00,0.00,-0.23,9.87,-0.42,-0.18,0.00,-0.16,-0.45,0.00,0.00
917.00,993.00,76.00,-0.22,-0.46,9.79,-0.10,-0.03,0.00,-0.16,-0.45,0.00,0.00
993.00,1073.00,80.00,0.69,-0.46,9.79,-0.30,0.06,0.00,-0.14,-0.44,0.00,0.00
1073.00,1152.00,79.00,-0.91,0.22,9.83,-0.15,0.04,0.00,-0.19,-0.40,0.00,0.00
1152.00,1232.00,80.00,0.92,-0.69,9.83,-0.07,0.09,0.00,-0.12,-0.41,0.00,0.00
1232.00,1311.00,79.00,-0.68,-0.46,9.83,-0.00,0.06,0.00,-0.15,-0.41,0.00,0.00
1311.00,1393.00,82.00,0.46,-0.46,9.83,0.08,0.19,0.00,-0.09,-0.39,0.00,0.00
1393.00,1476.00,83.00,-0.91,0.22,9.79,0.03,0.16,0.00,-0.15,-0.33,0.00,0.00
1476.00,1551.00,75.00,0.46,0.22,9.83,0.05,0.22,0.00,-0.09,-0.26,0.00,0.00
1551.00,1629.00,78.00,0.23,-0.01,9.83,-0.24,0.17,0.00,-0.07,-0.22,0.00,0.00
1629.00,1709.00,80.00,-0.22,-0.23,9.83,-0.02,0.14,0.00,-0.08,-0.20,0.00,0.00
1709.00,1791.00,82.00,0.00,-0.23,9.87,-0.15,0.08,0.00,-0.07,-0.19,0.00,0.00
1791.00,1871.00,80.00,-0.22,0.45,9.71,-0.08,0.02,0.00,-0.09,-0.11,0.00,0.00
1871.00,1954.00,83.00,0.69,0.45,9.87,-0.21,0.07,0.00,-0.01,-0.04,0.00,0.00
1954.00,2029.00,75.00,-0.45,-0.01,9.83,-0.20,-0.05,0.00,-0.06,-0.02,0.00,0.00
2029.00,2111.00,82.00,-0.68,8.50,9.40,-0.14,-0.07,0.00,-0.13,0.94,0.00,0.00
2111.00,2192.00,81.00,0.69,6.19,9.79,-0.20,-4.52,0.00,-0.05,1.28,0.00,-1.00
2192.00,2272.00,80.00,0.92,3.43,9.75,-0.51,-11.11,0.00,0.04,0.83,0.00,-1.00
2272.00,2352.00,80.00,-0.68,-2.30,9.67,-1.04,-14.85,0.00,-0.11,-0.47,-1.00,-1.00
2352.00,2437.00,85.00,1.15,-4.82,9.44,-0.98,-15.52,0.00,-0.02,-2.04,-1.00,-1.00
2437.00,2526.00,89.00,-2.06,-6.20,9.64,-0.70,-13.61,0.00,-0.30,-3.52,0.00,-1.00
2526.00,2606.00,80.00,-2.75,-5.28,9.28,-0.30,-12.61,0.00,-0.61,-4.56,0.00,-1.00
2606.00,2690.00,84.00,-1.14,-7.59,9.67,-0.59,-10.90,0.00,-0.72,-5.67,-1.00,-1.00
2690.00,2776.00,86.00,0.00,-10.14,9.67,-0.59,-11.68,0.00,-0.69,-7.05,-1.00,-1.00
2776.00,2861.00,85.00,-0.22,-10.37,9.56,0.11,-7.18,0.00,-0.63,-7.97,0.00,-1.00
2861.00,2944.00,83.00,0.00,-10.84,9.48,0.33,-5.77,0.00,-0.53,-8.74,0.00,-1.00
2944.00,3030.00,86.00,-0.68,-10.61,9.64,-0.04,-2.94,0.00,-0.55,-9.20,0.00,-1.00
3030.00,3111.00,81.00,-0.45,-10.84,9.71,0.12,-0.88,0.00,-0.53,-9.48,0.00,-1.00
3111.00,3194.00,83.00,-0.68,-10.84,9.60,-0.35,1.49,0.00,-0.57,-9.57,0.00,-1.00
3194.00,3276.00,82.00,-0.45,-10.14,9.56,-0.40,3.53,0.00,-0.58,-9.42,0.00,-1.00
3276.00,3359.00,83.00,-0.68,-9.44,9.56,-0.48,5.27,0.00,-0.63,-9.08,-1.00,-1.00
3359.00,3443.00,84.00,0.46,-10.14,9.87,-0.88,6.84,0.00,-0.56,-8.75,-1.00,-1.00
3443.00,3526.00,83.00,-0.22,-8.98,9.71,0.42,8.70,0.00,-0.48,-8.20,0.00,0.00
3526.00,3610.00,84.00,-1.60,-8.51,9.56,0.96,10.07,0.00,-0.54,-7.56,0.00,1.00
3610.00,3687.00,77.00,0.00,-6.20,9.64,0.78,11.19,0.00,-0.41,-6.70,0.00,1.00
3687.00,3767.00,80.00,-0.45,-5.05,9.60,0.81,12.14,0.00,-0.36,-5.70,0.00,1.00
3767.00,3849.00,82.00,0.23,-4.13,9.67,0.86,12.78,0.00,-0.22,-4.64,0.00,1.00
3849.00,3929.00,80.00,-0.22,-2.53,9.64,0.64,13.25,0.00,-0.17,-3.51,0.00,1.00
3929.00,4010.00,81.00,0.46,-1.84,9.67,0.87,13.60,0.00,-0.02,-2.38,0.00,1.00
4010.00,4094.00,84.00,-0.22,-0.23,9.75,0.66,13.62,0.00,0.01,-1.15,0.00,1.00
4094.00,4169.00,75.00,0.69,0.68,9.75,0.71,13.27,0.00,0.15,-0.09,0.00,1.00
4169.00,4247.00,78.00,0.69,2.06,9.79,0.60,12.97,0.00,0.27,1.03,0.00,1.00
4247.00,4325.00,78.00,0.46,3.66,9.79,0.55,12.28,0.00,0.35,2.17,0.00,1.00
4325.00,4402.00,77.00,0.69,5.04,9.75,0.52,11.40,0.00,0.44,3.28,0.00,1.00
4402.00,4479.00,77.00,0.23,5.27,9.75,0.39,10.39,0.00,0.46,4.22,0.00,1.00
4479.00,4555.00,76.00,0.69,6.42,9.67,0.47,9.19,0.00,0.53,5.10,1.00,1.00
