t0,t1,dt,Measured_Angle_X,Measured_Angle_Y,Acceleration_Z,Angular_Velocity_X,Angular_Velocity_Y,Altitude,Kalman_Angle_X,Kalman_Angle_Y,Open_X,Open_Y
2631.00,2710.00,79.00,6.03,-4.66,9.47,0.84,1.20,0.00,4.72,-2.11,1.00,0.00
2710.00,2788.00,78.00,6.03,-6.50,9.63,3.57,-2.30,0.00,5.10,-3.06,1.00,-1.00
2788.00,2868.00,80.00,4.88,-3.74,9.51,2.19,8.41,0.00,5.22,-2.84,1.00,1.00
2868.00,2945.00,77.00,5.11,-3.28,9.71,0.55,4.11,0.00,5.23,-2.91,1.00,1.00
2945.00,3039.00,94.00,5.11,-0.07,9.35,2.15,-10.48,0.00,5.37,-3.79,1.00,-1.00
3039.00,3105.00,66.00,5.80,6.81,9.31,5.52,-12.52,0.00,5.73,-3.48,1.00,-1.00
3105.00,3185.00,80.00,5.57,-4.66,9.71,10.18,-10.93,0.00,6.41,-4.60,1.00,-1.00
3185.00,3267.00,82.00,5.34,-1.45,10.10,9.84,-5.69,0.00,6.97,-4.85,1.00,-1.00
3267.00,3348.00,81.00,2.58,1.76,10.10,17.11,-15.07,0.00,7.63,-5.32,1.00,-1.00
3348.00,3431.00,83.00,2.81,3.82,10.10,0.88,-32.57,0.00,7.04,-6.74,1.00,-1.00
3431.00,3512.00,81.00,2.81,4.28,9.67,-22.73,-8.98,0.00,4.81,-6.11,-1.00,-1.00
3512.00,3610.00,98.00,-0.17,2.68,9.63,-36.34,-2.36,0.00,0.94,-5.22,-1.00,-1.00
3610.00,3677.00,67.00,0.29,1.30,9.78,-25.72,-3.41,0.00,-0.75,-4.59,-1.00,-1.00
3677.00,3761.00,84.00,0.75,2.91,9.90,-4.84,-0.10,0.00,-1.03,-3.58,-1.00,-1.00
3761.00,3842.00,81.00,-0.63,0.61,9.86,3.90,6.79,0.00,-0.80,-2.45,1.00,1.00
3842.00,3921.00,79.00,-1.31,-7.89,10.10,-1.83,9.03,0.00,-1.08,-2.34,-1.00,1.00
3921.00,4004.00,83.00,-4.30,-6.04,9.82,1.35,-4.04,0.00,-1.48,-2.97,0.00,-1.00
4004.00,4104.00,100.00,-0.63,-3.74,9.98,14.33,4.79,0.00,-0.26,-2.54,1.00,1.00
4104.00,4169.00,65.00,-2.92,-12.31,10.14,11.24,4.40,0.00,-0.04,-3.42,1.00,0.00
4169.00,4252.00,83.00,-1.31,-3.74,9.43,-3.27,5.39,0.00,-0.58,-3.04,-1.00,1.00
4252.00,4334.00,82.00,-0.85,-3.51,9.39,-15.09,-0.59,0.00,-1.84,-3.12,-1.00,-1.00
